,repetition,step size,batch size,type,algorithm,loss
399,1,0.06723357737064362,16,Least squares,gradient,20.35668780517578
400,1,0.06723357737064362,32,Least squares,proximal point,1.5958251118898392
401,1,0.06723357737064362,32,Least squares,gradient,11.143599269104003
402,1,0.09236708283424377,8,Least squares,proximal point,1.6281955557647627
403,1,0.09236708283424377,8,Least squares,gradient,26.081656371212006
404,1,0.09236708283424377,16,Least squares,proximal point,1.364555301553756
405,1,0.09236708283424377,16,Least squares,gradient,15.771183669281006
406,1,0.09236708283424377,32,Least squares,proximal point,1.0973622166514396
407,1,0.09236708283424377,32,Least squares,gradient,9.337905682373046
408,1,0.12689609825611115,8,Least squares,proximal point,1.194878184189205
409,1,0.12689609825611115,8,Least squares,gradient,15.003085180330276
410,1,0.12689609825611115,16,Least squares,proximal point,0.8002841087253765
411,1,0.12689609825611115,16,Least squares,gradient,10.44261736907959
412,1,0.12689609825611115,32,Least squares,proximal point,0.6806751602992416
413,1,0.12689609825611115,32,Least squares,gradient,6.924320635986328
414,1,0.1743328869342804,8,Least squares,proximal point,0.9602808121726616
415,1,0.1743328869342804,8,Least squares,gradient,6.3186916179507975
416,1,0.1743328869342804,16,Least squares,proximal point,0.6858959282825701
417,1,0.1743328869342804,16,Least squares,gradient,5.039711485433578
418,1,0.1743328869342804,32,Least squares,proximal point,0.5086518472980708
419,1,0.1743328869342804,32,Least squares,gradient,4.029116254615784
