,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
982,18,1000,2000,8.025312026000051,0.10442237799998111,16
983,18,1000,2000,8.029079854999964,0.06544713899995713,32
984,18,1000,2500,10.270495257999983,1.5390706480000063,1
985,18,1000,2500,10.486894400999972,0.13475614099991162,16
986,18,1000,2500,10.37859580199995,0.08246120700005122,32
987,18,1000,3000,12.912759190999964,2.156077835000019,1
988,18,1000,3000,13.758176746999993,0.18673832500007848,16
989,18,1000,3000,13.750889916999995,0.120399908999957,32
990,18,3000,500,2.0091221679999762,0.2808968110000478,1
991,18,3000,500,2.0707827980000957,0.022662069000034535,16
992,18,3000,500,2.0521514270000125,0.016130937999946582,32
993,18,3000,1000,4.1250642259999495,0.6451115479999316,1
994,18,3000,1000,4.146601422000003,0.05442891999996391,16
995,18,3000,1000,4.206569796999929,0.04459455300002446,32
996,18,3000,1000,4.208381921000068,0.6644868870000664,1
997,18,3000,1000,4.184413108999934,0.06317520300001433,16
998,18,3000,1000,4.489289572000075,0.03708194099999673,32
999,18,3000,2000,9.918671731000018,1.5725474179999992,1
1000,18,3000,2000,10.842222590999995,0.14311923299999307,16
1001,18,3000,2000,10.93971356999998,0.08915884299995014,32
1002,18,3000,2500,14.112124888999915,1.7342364869999756,1
1003,18,3000,2500,14.18640974899995,0.15276522999999997,16
1004,18,3000,2500,14.018567157000007,0.11436750500001835,32
1005,18,3000,3000,16.50820028399994,1.6928571859999693,1
1006,18,3000,3000,16.454372560000024,0.18315428599998995,16
1007,18,3000,3000,16.59103518500001,0.09547577299997556,32
1008,18,6000,500,2.576951564999945,0.357631868999988,1
1009,18,6000,500,2.6377401839999948,0.03258834600001137,16
1010,18,6000,500,2.632247551999967,0.020497522999903595,32
1011,18,6000,1000,5.823973116999923,0.8199705310000809,1
1012,18,6000,1000,6.049099477999903,0.08097766100001991,16
1013,18,6000,1000,6.085486449000086,0.048436329999958616,32
1014,18,6000,1000,6.096059694000019,0.8560305810000273,1
1015,18,6000,1000,6.389089755999976,0.06504209399997762,16
1016,18,6000,1000,6.378255072000002,0.052717110999992656,32
1017,18,6000,2000,11.176197529999968,0.9094177550000495,1
1018,18,6000,2000,10.230990641999938,0.07667033500001708,16
1019,18,6000,2000,9.716528290999918,0.054131901999994625,32
1020,18,6000,2500,10.666520478999928,0.9567323550000992,1
1021,18,6000,2500,10.680830678000007,0.08802355300008458,16
1022,18,6000,2500,10.47114797100005,0.05969431800008351,32
1023,18,6000,3000,11.794216540999969,1.1307813900000383,1
1024,18,6000,3000,11.226630365999995,0.10432021299993721,16
1025,18,6000,3000,10.54897496600006,0.073720255000012,32
1026,19,1000,500,2.720090220999964,0.3790246030000617,1
1027,19,1000,500,2.673003625000092,0.030005920999997215,16
1028,19,1000,500,2.6848148779999974,0.022305715999891618,32
1029,19,1000,1000,5.614608762999978,0.8443413079999118,1
1030,19,1000,1000,5.5578755039999805,0.06508701999996447,16
1031,19,1000,1000,5.628140884999993,0.04101814400007697,32
1032,19,1000,1000,5.593918525999925,0.8375329360000023,1
1033,19,1000,1000,5.6274677259999635,0.06686681799999405,16
1034,19,1000,1000,5.597154751000062,0.038920886000028077,32
1035,19,1000,2000,10.89450252000006,1.2205112679999957,1
1036,19,1000,2000,11.00120660899995,0.10655463099999452,16
1037,19,1000,2000,10.923709047999978,0.06733582399999705,32
1038,19,1000,2500,13.200937608000004,1.460403833999976,1
1039,19,1000,2500,13.335755497999912,0.12653145399997356,16
1040,19,1000,2500,13.394582238999988,0.0805563549999988,32
1041,19,1000,3000,15.477423439999939,1.7587853549999863,1
1042,19,1000,3000,14.990779346999943,0.19462995599997157,16
1043,19,1000,3000,15.091284905999942,0.11106454299999768,32
1044,19,3000,500,3.101576131999991,0.3700138169999718,1
1045,19,3000,500,2.9438846780000176,0.03438914499997736,16
1046,19,3000,500,2.9926474530000178,0.021604665000040768,32
1047,19,3000,1000,5.45931709599995,0.6155621139999994,1
1048,19,3000,1000,5.4090484890000425,0.05662093800003731,16
1049,19,3000,1000,5.201140248999991,0.03902333499991073,32
1050,19,3000,1000,5.221024975000091,0.6188031460000047,1
1051,19,3000,1000,5.203645950999999,0.04509866499995496,16
1052,19,3000,1000,4.8039096640000025,0.03891600000008566,32
1053,19,3000,2000,9.499526862000039,1.4441648609999902,1
1054,19,3000,2000,9.697494333999998,0.1277984829999923,16
1055,19,3000,2000,9.674118126000053,0.0754572679999228,32
1056,19,3000,2500,12.384508445999927,1.3499065530000962,1
1057,19,3000,2500,12.255243815999961,0.12547161900010906,16
1058,19,3000,2500,12.285969800000089,0.07708580999997139,32
1059,19,3000,3000,14.08589154099991,1.368764347000024,1
1060,19,3000,3000,13.857601806999924,0.12279403000002276,16
1061,19,3000,3000,13.981881421999901,0.07547689000000446,32
1062,19,6000,500,2.270610440999917,0.3054781370000228,1
1063,19,6000,500,2.309407155000031,0.031248485999981312,16
1064,19,6000,500,2.291270620999967,0.02009048900004018,32
1065,19,6000,1000,5.014781777000053,0.7500344549999909,1
1066,19,6000,1000,5.3808874270000615,0.06180656799995177,16
1067,19,6000,1000,5.24217188099999,0.05936256800009687,32
1068,19,6000,1000,5.367003996999983,0.6864898730000277,1
1069,19,6000,1000,5.575712545999977,0.05326988199999505,16
1070,19,6000,1000,5.479041961999997,0.035380175000000236,32
1071,19,6000,2000,9.251167923000025,0.8632322360000444,1
1072,19,6000,2000,8.486606670000015,0.08674975400003859,16
1073,19,6000,2000,7.892497609999964,0.05256715099994835,32
1074,19,6000,2500,8.994444431000034,0.9550062659999412,1
1075,19,6000,2500,8.990636109999969,0.09321427500003665,16
1076,19,6000,2500,8.777425309000023,0.06020685299995421,32
1077,19,6000,3000,10.101926611999943,1.0849772420000363,1
1078,19,6000,3000,9.684452679999936,0.10082061000002795,16
1079,19,6000,3000,9.210502741000028,0.0703434769999376,32
1080,20,1000,500,2.535820053000066,0.31394393599998693,1
1081,20,1000,500,2.5323417769999423,0.025352910999913547,16
1082,20,1000,500,2.5554300080000303,0.01400998700000855,32
1083,20,1000,1000,4.945318877999966,0.6057866289999083,1
1084,20,1000,1000,4.908254090000014,0.05799779800008764,16
1085,20,1000,1000,4.987802149999993,0.03468674499993085,32
1086,20,1000,1000,4.960839518999933,0.6121544849999054,1
1087,20,1000,1000,4.980929606000018,0.050316348000023936,16
1088,20,1000,1000,4.978550874000007,0.0333298589999913,32
1089,20,1000,2000,9.965583281999898,1.5443987930000276,1
1090,20,1000,2000,9.942831825999974,0.2240697239999463,16
1091,20,1000,2000,10.056822271000101,0.0929144899999983,32
1092,20,1000,2500,12.664016684999979,1.6754256610000766,1
1093,20,1000,2500,12.743889830000057,0.13408875599998282,16
1094,20,1000,2500,12.793928823999977,0.08286724399999912,32
1095,20,1000,3000,15.565506643000049,2.5943576930000063,1
1096,20,1000,3000,15.924240491000091,0.21595419599998422,16
1097,20,1000,3000,16.008873035999954,0.13835838800002875,32
1098,20,3000,500,2.4541294299999663,0.2988688350000075,1
1099,20,3000,500,2.3731350660000317,0.04113475299993752,16
1100,20,3000,500,2.4040544189999764,0.025280500999997457,32
1101,20,3000,1000,5.27256948999991,0.723247807000007,1
1102,20,3000,1000,5.260107936000054,0.06483353400005853,16
1103,20,3000,1000,5.357931322000013,0.05143474999999853,32
1104,20,3000,1000,5.356971807000036,0.7433843310000157,1
1105,20,3000,1000,5.313231128999973,0.07260052699996322,16
1106,20,3000,1000,5.51162191100002,0.0360459250000531,32
1107,20,3000,2000,11.603305414999909,1.7114111519999824,1
1108,20,3000,2000,11.74758921900002,0.1563515999999936,16
1109,20,3000,2000,11.889770503000022,0.09363711200001035,32
1110,20,3000,2500,14.696327089999954,1.6084653330000265,1
1111,20,3000,2500,14.653382298999986,0.1428654279999364,16
1112,20,3000,2500,14.475309949000007,0.08993740299990804,32
1113,20,3000,3000,17.026271167000004,1.801132417999952,1
1114,20,3000,3000,16.869007107000016,0.1721149149999519,16
1115,20,3000,3000,16.860895296999956,0.11032697800010283,32
1116,20,6000,500,2.845661801999995,0.4263713130000042,1
1117,20,6000,500,2.856835505999925,0.035530650000055175,16
1118,20,6000,500,2.8427038489999177,0.024647595000033107,32
1119,20,6000,1000,6.472654048999971,0.8110417980000193,1
1120,20,6000,1000,6.59047900500002,0.06999916400002348,16
1121,20,6000,1000,6.501722994000033,0.04905509700006405,32
1122,20,6000,1000,6.473058831000003,0.8261328359999425,1
1123,20,6000,1000,6.289972566000074,0.059685819000037554,16
1124,20,6000,1000,6.186752886000022,0.039765389999956824,32
1125,20,6000,2000,11.005541353000012,1.0760980760001075,1
1126,20,6000,2000,10.150629919999915,0.08197515200004091,16
1127,20,6000,2000,9.593526757999939,0.047202731999959724,32
1128,20,6000,2500,10.692116258999931,0.9558719730000576,1
1129,20,6000,2500,10.645307940000066,0.09362467599999036,16
1130,20,6000,2500,10.455146704000072,0.05679028500003369,32
1131,20,6000,3000,11.840315932999943,1.1321800639999537,1
1132,20,6000,3000,11.203498621999984,0.11023277599997527,16
1133,20,6000,3000,10.657058736000067,0.06900506400006634,32
1134,21,1000,500,2.676593071999946,0.3608837650000396,1
1135,21,1000,500,2.6546998750000057,0.027466467999943234,16
1136,21,1000,500,2.674886732999994,0.019375534000005246,32
1137,21,1000,1000,5.22025776800001,0.6902416719999565,1
1138,21,1000,1000,5.225119360999997,0.05310313100005715,16
1139,21,1000,1000,5.206859100999964,0.03442268200001308,32
1140,21,1000,1000,5.240560474000063,0.6987578459999213,1
1141,21,1000,1000,5.229507802000057,0.0535273819999702,16
1142,21,1000,1000,5.2509750050001,0.03161953400001494,32
1143,21,1000,2000,10.741364783999984,1.3562866969999732,1
1144,21,1000,2000,10.791095808000023,0.11762079799996172,16
1145,21,1000,2000,10.695426286000043,0.07901669800003219,32
1146,21,1000,2500,13.176182417000064,1.8024951310000006,1
1147,21,1000,2500,13.361038975999918,0.13313026799994532,16
1148,21,1000,2500,13.41151989900004,0.08560419299999467,32
1149,21,1000,3000,16.068651103000093,2.090047979000019,1
1150,21,1000,3000,15.999777202000018,0.2405775710000171,16
1151,21,1000,3000,16.129086785000027,0.15241617200001656,32
1152,21,3000,500,2.546898138000074,0.3678708469999492,1
1153,21,3000,500,2.7930585279999605,0.03595870199990259,16
1154,21,3000,500,2.7770924900000864,0.02368996299992432,32
1155,21,3000,1000,5.726252836999947,0.7008566749999545,1
1156,21,3000,1000,5.686797626000043,0.07574405499997283,16
1157,21,3000,1000,5.724786719999997,0.03190793900000699,32
1158,21,3000,1000,5.685699706000037,0.6638488990000724,1
1159,21,3000,1000,5.599453011000037,0.0611794540000119,16
1160,21,3000,1000,5.53150924800002,0.044811739000010675,32
1161,21,3000,2000,11.142472193999993,1.5913140569999769,1
1162,21,3000,2000,10.997746766000091,0.13030660499998703,16
1163,21,3000,2000,11.230426585000032,0.08893645300008757,32
1164,21,3000,2500,13.839493199000003,1.612523402000079,1
1165,21,3000,2500,13.813735096999949,0.15061257000002115,16
1166,21,3000,2500,13.88279347599996,0.11093213100002686,32
1167,21,3000,3000,16.16345826600002,1.5816828260000193,1
1168,21,3000,3000,15.929533091999929,0.15027035299999625,16
1169,21,3000,3000,16.015653888999964,0.08024936100002833,32
1170,21,6000,500,2.823759119999977,0.342865254000003,1
1171,21,6000,500,2.8390683520000266,0.0287514189999456,16
1172,21,6000,500,2.795141211999976,0.021567695000044296,32
